
> darfus-jewellery-erp@2.0.0 dev
> next dev

▲ Next.js 16.2.9 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.137.1:3000
- Environments: .env
✓ Ready in 509ms

 GET /ar/inventory/transfers 200 in 517ms (next.js: 440ms, proxy.ts: 4ms, generate-params: 408ms, application-code: 73ms)
 GET /ar/inventory/workshop 200 in 477ms (next.js: 419ms, proxy.ts: 3ms, generate-params: 393ms, application-code: 55ms)
 GET /ar/inventory/stock-audit 200 in 77ms (next.js: 17ms, proxy.ts: 3ms, generate-params: 6ms, application-code: 58ms)
 GET /ar/pos 200 in 81ms (next.js: 13ms, proxy.ts: 4ms, generate-params: 7ms, application-code: 64ms)
 GET /ar/customers 200 in 69ms (next.js: 10ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 56ms)
 GET /en/dashboard 200 in 63ms (next.js: 9ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 51ms)
 GET /en/inventory 200 in 81ms (next.js: 17ms, proxy.ts: 7ms, generate-params: 9ms, application-code: 57ms)
 GET /en/inventory/transfers 200 in 76ms (next.js: 9ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 64ms)
 GET /en/inventory/workshop 200 in 60ms (next.js: 9ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 48ms)
 GET /en/inventory/stock-audit 200 in 76ms (next.js: 13ms, proxy.ts: 3ms, generate-params: 7ms, application-code: 60ms)
 GET /en/pos 200 in 80ms (next.js: 10ms, proxy.ts: 4ms, generate-params: 5ms, application-code: 67ms)
 GET /en/customers 200 in 65ms (next.js: 9ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 53ms)
 GET /ar/settings 200 in 552ms (next.js: 458ms, proxy.ts: 4ms, generate-params: 422ms, application-code: 91ms)
 GET /ar/employees 200 in 528ms (next.js: 461ms, proxy.ts: 3ms, generate-params: 412ms, application-code: 65ms)
 GET /en/settings 200 in 90ms (next.js: 17ms, proxy.ts: 6ms, generate-params: 12ms, application-code: 66ms)
 GET /en/employees 200 in 74ms (next.js: 11ms, proxy.ts: 4ms, generate-params: 6ms, application-code: 59ms)
 GET /ar/login 200 in 39ms (next.js: 13ms, proxy.ts: 4ms, generate-params: 7ms, application-code: 22ms)
 GET /ar/login 200 in 27ms (next.js: 5ms, proxy.ts: 6ms, generate-params: 18µs, application-code: 15ms)
 GET /en/dashboard 200 in 62ms (next.js: 10ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 49ms)
 GET /en/dashboard 200 in 62ms (next.js: 10ms, proxy.ts: 3ms, generate-params: 6ms, application-code: 49ms)
 GET /ar/dashboard 200 in 102ms (next.js: 19ms, proxy.ts: 8ms, generate-params: 12ms, application-code: 74ms)
 GET /ar/dashboard 200 in 78ms (next.js: 13ms, proxy.ts: 4ms, generate-params: 7ms, application-code: 61ms)
 GET /ar/inventory 200 in 129ms (next.js: 15ms, proxy.ts: 6ms, generate-params: 7ms, application-code: 108ms)
 GET /ar/inventory/1 200 in 174ms (next.js: 27ms, proxy.ts: 4ms, application-code: 143ms)
 GET /ar/inventory/transfers 200 in 132ms (next.js: 18ms, proxy.ts: 8ms, generate-params: 8ms, application-code: 106ms)
 GET /ar/inventory/workshop 200 in 116ms (next.js: 12ms, proxy.ts: 4ms, generate-params: 6ms, application-code: 100ms)
 GET /ar/inventory/stock-audit 200 in 120ms (next.js: 16ms, proxy.ts: 3ms, generate-params: 9ms, application-code: 101ms)
 GET /ar/pos 200 in 108ms (next.js: 14ms, proxy.ts: 6ms, generate-params: 8ms, application-code: 87ms)
 GET /ar/customers 200 in 114ms (next.js: 13ms, proxy.ts: 8ms, generate-params: 8ms, application-code: 93ms)
 GET /ar/suppliers 200 in 929ms (next.js: 867ms, proxy.ts: 4ms, generate-params: 473ms, application-code: 57ms)
 GET /ar/settings 200 in 103ms (next.js: 13ms, proxy.ts: 3ms, generate-params: 7ms, application-code: 87ms)
 GET /ar/employees 200 in 99ms (next.js: 13ms, proxy.ts: 5ms, generate-params: 8ms, application-code: 81ms)
 GET /ar/accounting 200 in 678ms (next.js: 596ms, proxy.ts: 4ms, generate-params: 558ms, application-code: 78ms)
 GET /en/dashboard 200 in 88ms (next.js: 13ms, proxy.ts: 3ms, generate-params: 7ms, application-code: 71ms)
 GET /en/inventory 200 in 104ms (next.js: 21ms, proxy.ts: 7ms, generate-params: 11ms, application-code: 77ms)
 GET /en/inventory/1 200 in 116ms (next.js: 18ms, proxy.ts: 6ms, application-code: 92ms)
 GET /en/inventory/transfers 200 in 117ms (next.js: 13ms, proxy.ts: 11ms, generate-params: 7ms, application-code: 93ms)
 GET /en/inventory/workshop 200 in 113ms (next.js: 18ms, proxy.ts: 9ms, generate-params: 11ms, application-code: 86ms)
 GET /en/inventory/stock-audit 200 in 107ms (next.js: 13ms, proxy.ts: 4ms, generate-params: 6ms, application-code: 90ms)
 GET /en/pos 200 in 113ms (next.js: 15ms, proxy.ts: 5ms, generate-params: 8ms, application-code: 93ms)
 GET /en/customers 200 in 142ms (next.js: 13ms, proxy.ts: 6ms, generate-params: 8ms, application-code: 123ms)
 GET /en/suppliers 200 in 110ms (next.js: 14ms, proxy.ts: 5ms, generate-params: 7ms, application-code: 92ms)
 GET /en/settings 200 in 103ms (next.js: 15ms, proxy.ts: 4ms, generate-params: 10ms, application-code: 84ms)
 GET /en/employees 200 in 117ms (next.js: 16ms, proxy.ts: 3ms, generate-params: 10ms, application-code: 98ms)
 GET /en/accounting 200 in 150ms (next.js: 17ms, proxy.ts: 4ms, generate-params: 9ms, application-code: 128ms)
✓ Compiled in 1507ms
 GET /ar/login 200 in 202ms (next.js: 76ms, proxy.ts: 57ms, generate-params: 6ms, application-code: 69ms)
 GET /en/pos 200 in 322ms (next.js: 77ms, proxy.ts: 4ms, generate-params: 6ms, application-code: 241ms)
 GET /ar/pos 200 in 79ms (next.js: 23ms, proxy.ts: 4ms, generate-params: 24µs, application-code: 52ms)
 GET /en/pos 200 in 59ms (next.js: 9ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 46ms)
 GET /ar/pos 200 in 54ms (next.js: 4ms, proxy.ts: 3ms, generate-params: 21µs, application-code: 46ms)
 GET /ar/pos 200 in 72ms (next.js: 12ms, proxy.ts: 6ms, generate-params: 7ms, application-code: 54ms)
 GET /en/pos 200 in 63ms (next.js: 10ms, proxy.ts: 4ms, generate-params: 5ms, application-code: 49ms)
 GET /ar/pos 200 in 98ms (next.js: 17ms, proxy.ts: 8ms, generate-params: 10ms, application-code: 73ms)
✓ Compiled in 168ms
 GET /ar/login 200 in 340ms (next.js: 77ms, proxy.ts: 54ms, generate-params: 5ms, application-code: 209ms)
 GET /ar/pos 200 in 341ms (next.js: 225ms, proxy.ts: 55ms, generate-params: 5ms, application-code: 62ms)
 GET /en/pos 200 in 237ms (next.js: 14ms, proxy.ts: 4ms, generate-params: 9ms, application-code: 220ms)
 GET /ar/pos 200 in 68ms (next.js: 13ms, proxy.ts: 4ms, generate-params: 6ms, application-code: 51ms)
 GET /en/dashboard 200 in 172ms (next.js: 20ms, proxy.ts: 6ms, generate-params: 6ms, application-code: 146ms)
 GET /en/dashboard 200 in 66ms (next.js: 11ms, proxy.ts: 4ms, generate-params: 6ms, application-code: 51ms)
 GET /en/pos 200 in 76ms (next.js: 12ms, proxy.ts: 3ms, generate-params: 8ms, application-code: 60ms)
 GET /en/sales 200 in 138ms (next.js: 16ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 120ms)
 GET /en/customers 200 in 87ms (next.js: 16ms, proxy.ts: 4ms, generate-params: 5ms, application-code: 66ms)
 GET /en/sales/customer-gold/drafts 200 in 867ms (next.js: 793ms, proxy.ts: 3ms, generate-params: 401ms, application-code: 70ms)
 GET /en/inventory 200 in 89ms (next.js: 17ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 69ms)
 GET /en/inventory/transfers 200 in 91ms (next.js: 16ms, proxy.ts: 4ms, generate-params: 5ms, application-code: 72ms)
 GET /en/inventory/workshop 200 in 75ms (next.js: 16ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 56ms)
 GET /en/inventory/stock-audit 200 in 78ms (next.js: 16ms, proxy.ts: 3ms, generate-params: 6ms, application-code: 58ms)
 GET /en/gold-center 200 in 534ms (next.js: 464ms, proxy.ts: 3ms, generate-params: 414ms, application-code: 67ms)
 GET /en/suppliers 200 in 100ms (next.js: 26ms, proxy.ts: 3ms, generate-params: 9ms, application-code: 71ms)
 GET /en/accounting 200 in 97ms (next.js: 15ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 79ms)
 GET /en/accounting/chart 200 in 555ms (next.js: 499ms, proxy.ts: 3ms, generate-params: 425ms, application-code: 53ms)
 GET /en/accounting/reports 200 in 499ms (next.js: 437ms, proxy.ts: 3ms, generate-params: 413ms, application-code: 59ms)
 GET /en/accounting/treasury 200 in 501ms (next.js: 443ms, proxy.ts: 3ms, generate-params: 398ms, application-code: 55ms)
 GET /en/reports 200 in 490ms (next.js: 431ms, proxy.ts: 4ms, generate-params: 404ms, application-code: 55ms)
 GET /en/employees 200 in 75ms (next.js: 16ms, proxy.ts: 3ms, generate-params: 6ms, application-code: 55ms)
 GET /en/settings/users 200 in 481ms (next.js: 419ms, proxy.ts: 3ms, generate-params: 398ms, application-code: 59ms)
 GET /en/audit 200 in 501ms (next.js: 449ms, proxy.ts: 3ms, generate-params: 410ms, application-code: 49ms)
 GET /en/approvals 200 in 550ms (next.js: 483ms, proxy.ts: 3ms, generate-params: 418ms, application-code: 64ms)
 GET /en/settings 200 in 104ms (next.js: 17ms, proxy.ts: 3ms, generate-params: 6ms, application-code: 84ms)
 GET /ar/dashboard 200 in 63ms (next.js: 11ms, proxy.ts: 3ms, generate-params: 6ms, application-code: 49ms)
 GET /ar/pos 200 in 70ms (next.js: 10ms, proxy.ts: 4ms, generate-params: 6ms, application-code: 56ms)
 GET /ar/sales 200 in 59ms (next.js: 9ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 46ms)
 GET /ar/customers 200 in 66ms (next.js: 11ms, proxy.ts: 3ms, generate-params: 6ms, application-code: 51ms)
 GET /ar/sales/customer-gold/drafts 200 in 74ms (next.js: 10ms, proxy.ts: 3ms, generate-params: 6ms, application-code: 61ms)
 GET /ar/inventory 200 in 65ms (next.js: 10ms, proxy.ts: 3ms, generate-params: 6ms, application-code: 53ms)
 GET /ar/inventory/transfers 200 in 64ms (next.js: 11ms, proxy.ts: 4ms, generate-params: 7ms, application-code: 49ms)
 GET /ar/inventory/workshop 200 in 65ms (next.js: 10ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 52ms)
 GET /ar/inventory/stock-audit 200 in 66ms (next.js: 11ms, proxy.ts: 3ms, generate-params: 6ms, application-code: 52ms)
 GET /ar/gold-center 200 in 69ms (next.js: 9ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 57ms)
 GET /ar/suppliers 200 in 74ms (next.js: 11ms, proxy.ts: 3ms, generate-params: 7ms, application-code: 60ms)
 GET /ar/accounting 200 in 69ms (next.js: 12ms, proxy.ts: 3ms, generate-params: 7ms, application-code: 54ms)
 GET /ar/accounting/chart 200 in 70ms (next.js: 9ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 58ms)
 GET /ar/accounting/reports 200 in 70ms (next.js: 10ms, proxy.ts: 3ms, generate-params: 6ms, application-code: 57ms)
 GET /ar/accounting/treasury 200 in 78ms (next.js: 10ms, proxy.ts: 3ms, generate-params: 5ms, application-code: 65ms)
